0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/feature-pic4.png HTTP/1.1" 200 39232
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/new-pic1.jpg HTTP/1.1" 200 11165
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/new-pic3.jpg HTTP/1.1" 200 11058
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/new-pic2.jpg HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/large-button-overlay.png HTTP/1.1" 200 166
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/button-bg.png HTTP/1.1" 200 179
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:24 -0700] "GET /ShopOnline/images/discount-img.png HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:26 -0700] "GET /ShopOnline/contact.html HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:26 -0700] "GET /ShopOnline/images/contact.png HTTP/1.1" 200 45123
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:27 -0700] "GET /ShopOnline/faq.html HTTP/1.1" 200 8765
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:29 -0700] "GET /ShopOnline/page/getContent.do?uiid=aboutUs HTTP/1.1" 200 60
